Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
Stephane Robert; 218; FRA; 37; 1980.05.17; 77; 185; 1-11; 0; 212,454; 50; 37-72; 0; 2,216,454
John-Patrick Smith; 219; AUS; 28; 1989.01.24; 84; 188; 0-3; 0; 147,530; 108; 5-15; 0; 863,147
Marco Trungelliti; 220; ARG; 27; 1990.01.31; 78; 180; 1-2; 0; 153,809; 126; 5-8; 0; 543,117
Yasutaka Uchiyama; 221; JPN; 25; 1992.08.05; 78; 183; 4-2; 1; 54,950; 124; 7-12; 1; 370,855
Zdenek Kolar; 222; CZE; 21; 1996.10.09; 76; 185; 0-0; 0; 44,937; 218; 0-0; 0; 101,404
Sumit Nagal; 223; IND; 20; 1997.08.16; 69; 178; 0-0; 0; 34,546; 223; 0-1; 0; 69,196
Dmitry Popko; 224; KAZ; 21; 1996.10.24; 87; 191; 2-1; 0; 58,513; 178; 2-1; 0; 165,054
Dennis Novak; 225; AUT; 24; 1993.08.28; 80; 183; 1-1; 0; 55,826; 195; 3-7; 0; 223,764
Andrew Whittington; 226; AUS; 24; 1993.08.11; 82; 188; 1-2; 0; 155,475; 160; 2-3; 0; 436,723
Santiago Giraldo; 227; COL; 30; 1987.11.27; 75; 188; 6-11; 0; 242,497; 28; 165-198; 0; 4,278,893
Vaclav Safranek; 228; CZE; 23; 1994.05.20; 80; 183; 0-1; 0; 96,090; 191; 0-1; 0; 160,161
Reilly Opelka; 229; USA; 20; 1997.08.28; 100; 211; 1-8; 0; 177,579; 125; 6-13; 0; 326,701
Ilya Ivashka; 230; BLR; 23; 1994.02.24; 83; 196; 2-2; 0; 62,856; 159; 7-3; 0; 183,911
Dennis Novikov; 231; USA; 24; 1993.11.06; 91; 193; 2-3; 0; 121,563; 119; 5-11; 0; 523,832
Tallon Griekspoor; 232; NED; 21; 1996.07.02; 82; 188; 0-2; 0; 51,532; 232; 0-2; 0; 91,330
Tobias Kamke; 233; GER; 31; 1986.05.21; 76; 178; 2-2; 0; 102,890; 64; 63-102; 0; 2,201,296
Andrea Arnaboldi; 234; ITA; 30; 1987.12.27; 72; 180; 0-0; 0; 52,455; 153; 3-7; 0; 643,682
Karim-Mohamed Maamoun ; 235; EGY; 26; 1991.04.09; 73; 175; 0-0; 0; 34,135; 225; 3-3; 0; 98,772
Luca Vanni; 236; ITA; 32; 1985.06.04; 94; 198; 0-2; 0; 100,963; 100; 5-16; 0; 587,599
Teymuraz Gabashvili; 237; RUS; 32; 1985.05.23; 83; 188; 0-3; 0; 128,665; 43; 116-199; 0; 3,998,721
Hubert Hurkacz; 238; POL; 20; 1997.02.11; 79; 196; 0-4; 0; 34,427; 236; 1-7; 0; 65,452
Jason Jung; 239; TPE; 28; 1989.06.15; 69; 180; 0-4; 0; 55,527; 143; 0-4; 0; 230,591
Tomislav Brkic; 240; BIH; 27; 1990.03.09; 80; 185; 1-0; 0; 36,698; 212; 3-6; 0; 170,915
Hugo Dellien; 241; BOL; 24; 1993.06.16; 75; 178; 1-1; 0; 29,470; 232; 8-6; 0; 109,424
Nicola Kuhn; 242; ESP; 17; 2000.03.20; 75; 185; 0-1; 0; 45,447; 228; 0-1; 0; 50,262
Prajnesh Gunneswaran; 243; IND; 28; 1989.11.12; 80; 188; 1-1; 0; 49,729; 213; 1-1; 0; 92,310
Di Wu; 244; CHN; 26; 1991.09.14; 65; 175; 2-2; 0; 23,040; 191; 2-9; 0; 708,207
Andrea Collarini; 245; ARG; 25; 1992.01.31; 80; 185; 0-0; 0; 40,233; 186; 0-0; 0; 182,827
Joao Souza; 246; BRA; 29; 1988.05.27; 92; 193; 1-3; 0; 71,628; 69; 27-50; 0; 1,306,528
Christian Harrison; 247; USA; 23; 1994.05.29; 77; 180; 0-2; 0; 64,133; 239; 1-4; 0; 203,582
Sam Groth; 248; AUS; 30; 1987.10.19; 100; 193; 2-5; 0; 108,347; 53; 38-62; 0; 1,906,262
Paul-Henri Mathieu; 249; FRA; 35; 1982.01.12; 74; 185; 1-9; 0; 180,965; 12; 276-306; 4; 6,299,093
Edan Leshem; 250; ISR; 20; 1997.03.19; 70; 183; 0-3; 0; 38,774; 249; 1-5; 0; 70,189
Joao Monteiro; 251; POR; 24; 1993.12.27; 77; 178; 0-0; 0; 30,401; 237; 0-0; 0; 40,740
Tommy Haas; 252; GER; 39; 1978.04.03; 84; 188; 6-14; 0; 261,904; 2; 569-338; 15; 13,609,987
Danilo Petrovic; 253; SRB; 25; 1992.01.24; 86; 203; 0-0; 0; 36,344; 249; 0-0; 0; 128,992
Federico Gaio; 254; ITA; 25; 1992.03.05; 84; 180; 2-2; 0; 74,908; 146; 2-4; 0; 282,561
Jay Clarke; 255; GBR; 19; 1998.07.27; 80; 183; 0-0; 0; 52,457; 219; 0-0; 0; 82,429
Alexander Sarkissian; 256; USA; 27; 1990.04.03; 79; 191; 0-0; 0; 58,041; 157; 2-3; 0; 204,632
Cem Ilkel; 257; TUR; 22; 1995.08.21; 79; 185; 1-4; 0; 61,732; 228; 3-12; 0; 154,549
Javier Marti; 258; ESP; 25; 1992.01.11;  ; ;0-0; 0; 29,264; 170; 2-11; 0; 365,999
Lorenzo Giustino; 259; ITA; 26; 1991.09.10; 80; 183; 0-1; 0; 65,078; 165; 0-3; 0; 251,726
Aleksandr Nedovyesov; 260; KAZ; 30; 1987.02.15; 81; 193; 0-1; 0; 50,868; 72; 6-26; 0; 825,422
Pedro Martinez; 261; ESP; 20; 1997.04.26; 70; 183; 0-0; 0; 10,336; 206; 0-0; 0; 76,165
Julien Cagnina; 262; BEL; 23; 1994.06.04; 70; 183; 0-0; 0; 26,516; 239; 0-0; 0; 85,898
Austin Krajicek; 263; USA; 27; 1990.06.16; 79; 188; 0-1; 0; 52,940; 94; 12-24; 0; 837,998
Tsung-Hua Yang; 264; TPE; 26; 1991.03.29; 80; 178; 0-0; 0; 27,297; 164; 6-19; 0; 403,862
Pedro Cachin; 265; ARG; 22; 1995.04.12;  ; ;0-0; 0; 26,712; 166; 0-1; 0; 120,254
Matteo Donati; 266; ITA; 22; 1995.02.28; 74; 185; 0-0; 0; 6,710; 232; 1-1; 0; 271,398
Kimmer Coppejans; 267; BEL; 23; 1994.02.07; 68; 180; 0-1; 0; 58,957; 97; 1-7; 0; 319,837
Marek Jaloviec; 268; CZE; 23; 1994.02.21; 72; 180; 0-0; 0; 36,869; 244; 0-0; 0; 69,185
Enrique Lopez Perez; 269; ESP; 26; 1991.06.03; 76;  ;0-0; 0; 62,209; 162; 0-1; 0; 307,623
Zhe Li; 270; CHN; 31; 1986.09.20; 77; 185; 2-0; 0; 31,347; 210; 5-6; 0; 358,267
Facundo Arguello; 271; ARG; 25; 1992.08.04; 77; 178; 0-0; 0; 8,112; 124; 2-7; 0; 492,344
Dayne Kelly; 272; AUS; 27; 1990.07.23;  ; ;0-0; 0; 34,247; 252; 0-0; 0; 127,657
Mats Moraing; 273; GER; 25; 1992.06.20; 84; 198; 0-0; 0; 30,414; 256; 0-0; 0; 67,327
Konstantin Kravchuk; 274; RUS; 32; 1985.02.23; 80; 191; 2-12; 0; 233,163; 78; 10-28; 0; 1,031,708
Daniel Altmaier; 275; GER; 19; 1998.09.12; 88; 191; 2-3; 0; 53,376; 210; 2-3; 0; 82,081
Omar Jasika; 276; AUS; 20; 1997.05.18; 60; 183; 0-1; 0; 70,175; 239; 1-3; 0; 227,419
Max Purcell; 277; AUS; 19; 1998.04.03; 75; 185; 0-1; 0; 16,179; 223; 0-1; 0; 77,357
Joris De Loore; 278; BEL; 24; 1993.04.21; 86; 191; 0-1; 0; 85,841; 174; 1-2; 0; 192,682
Roberto Quiroz; 279; ECU; 25; 1992.02.23; 88; 193; 1-1; 0; 8,317; 188; 1-9; 0; 133,857
Blake Mott; 280; AUS; 21; 1996.04.21; 77; 180; 0-1; 0; 75,995; 220; 0-1; 0; 141,625
Yusuke Takahashi; 281; JPN; 20; 1997.10.17; 68; 170; 0-1; 0; 42,146; 238; 0-1; 0; 60,549
Brydan Klein; 282; GBR; 27; 1989.12.31; 83; 188; 0-2; 0; 29,321; 118; 1-10; 0; 655,295
Laurynas Grigelis; 283; LTU; 26; 1991.08.14; 76; 183; 2-1; 0; 7,615; 132; 7-8; 0; 278,388
Matteo Viola; 284; ITA; 30; 1987.07.07; 80; 185; 0-0; 0; 30,264; 118; 4-11; 0; 575,596
Christopher Heyman; 285; BEL; 24; 1993.10.08; 90; 191; 0-0; 0; 23,648; 285; 0-0; 0; 52,647
Jose Hernandez-Fernandez; 286; DOM; 27; 1990.03.13; 77; 183; 2-2; 0; 37,157; 179; 11-14; 0; 173,398
David Guez; 287; FRA; 35; 1982.12.08; 75; 185; 0-0; 0; 25,542; 116; 2-16; 0; 770,586
Ivan Nedelko; 288; RUS; 31; 1986.05.12;  ; ;0-0; 0; 32,475; 261; 0-2; 0; 148,820
Alexander Ward; 289; GBR; 27; 1990.04.30; 85; 185; 0-1; 0; 73,225; 242; 0-4; 0; 254,272
Daniel Munoz de la Nava; 290; ESP; 35; 1982.01.29; 75; 178; 0-0; 0; 29,728; 68; 9-28; 0; 1,080,506
Lloyd Harris; 291; RSA; 20; 1997.02.24; 80; 196; 6-2; 0; 38,895; 199; 8-4; 0; 72,298
Rubin Statham; 290; NZL; 30; 1987.04.25; 80; 180; 0-1; 0; 11,302; 139; 1-10; 0; 271,603
Ivan Gakhov; 293; RUS; 21; 1996.11.04; 83; 193; 0-0; 0; 8,734; 210; 0-0; 0; 72,367
Franko Skugor; 294; CRO; 30; 1987.09.20; 96; 198; 2-5; 0; 54,997; 145; 6-18; 0; 626,578
Marcos Giron; 295; USA; 24; 1993.07.24; 77; 180; 0-0; 0; 49,815; 238; 0-2; 0; 162,477
Jan Choinski; 296; GER; 21; 1996.06.10; 80; 196; 0-0; 0; 23,810; 288; 0-1; 0; 62,514
Daniel Elahi Galan; 297; COL; 21; 1996.06.18; 72; 191; 0-0; 0; 25,853; 237; 1-1; 0; 78,401
Ante Pavic; 298; CRO; 28; 1989.03.07; 96; 196; 0-1; 0; 30,132; 132; 3-11; 0; 372,897
Youssef Hossam; 299; EGY; 19; 1998.06.03; 75; 178; 0-0; 0; 22,906; 291; 0-1; 0; 31,421
Maverick Banes; 300; AUS; 25; 1992.04.10;  ; ;0-0; 0; 29,951; 270; 0-0; 0; 122,783
Geoffrey Blancaneaux; 301; FRA; 19; 1998.08.08; 68; 178; 0-1; 0; 86,426; 289; 0-1; 0; 110,636
Nino Serdarusic; 302; CRO; 21; 1996.12.13; 79; 188; 0-0; 0; 7,577; 212; 0-2; 0; 71,494
Christian Lindell; 303; SWE; 26; 1991.11.20; 87; 193; 2-0; 0; 24,909; 177; 7-14; 0; 252,542
Bernabe Zapata Miralles; 304; ESP; 20; 1997.01.12; 73; 185; 0-0; 0; 32,460; 278; 0-0; 0; 61,379
Dominik Koepfer; 305; GER; 23; 1994.04.29; 82; 180; 0-1; 0; 30,235; 239; 0-1; 0; 48,866
Steven Diez; 306; CAN; 26; 1991.03.17;  ; ;0-1; 0; 68,886; 162; 1-6; 0; 353,862
Yannick Mertens; 307; BEL; 30; 1987.06.25; 72; 188; 0-0; 0; 34,027; 179; 1-2; 0; 447,579
Federico Coria; 308; ARG; 25; 1992.03.09; 73; 180; 0-0; 0; 6,635; 275; 0-0; 0; 138,656
Roberto Ortega-Olmedo; 309; ESP; 26; 1991.04.30;  ; ;0-0; 0; 9,319; 236; 0-0; 0; 159,116
Martin Cuevas; 310; URU; 25; 1992.01.14;  ; ;0-0; 0; 23,622; 308; 3-14; 0; 100,786
Christian Garin; 311; CHI; 21; 1996.05.30; 85; 185; 2-2; 0; 87,774; 187; 10-13; 0; 205,798
Markus Eriksson; 312; SWE; 28; 1989.11.29; 80; 188; 1-0; 0; 5,952; 290; 2-3; 0; 135,421
Yibing Wu; 313; CHN; 18; 1999.10.14; 73; 183; 1-2; 0; 18,084; 304; 1-2; 0; 83,076
Antoine Hoang; 314; FRA; 22; 1995.11.04; 71; 183; 0-0; 0; 6,724; 246; 0-0; 0; 60,011
Hernan Casanova; 315; ARG; 23; 1994.02.06; 76; 178; 0-0; 0; 23,119; 309; 0-0; 0; 69,423
Constant Lestienne; 316; FRA; 25; 1992.05.23; 72; 180; 0-0; 0; 35,767; 164; 0-1; 0; 160,936
Tristan Lamasine; 317; FRA; 24; 1993.03.05; 69; 183; 0-2; 0; 19,216; 85; 1-8; 0; 341,736
Michael Linzer; 318; AUT; 28; 1989.11.02; 77; 180; 0-0; 0; 27,876; 236; 0-2; 0; 159,549
Ti Chen; 319; TPE; 34; 1983.10.03; 73; 178; 1-0; 0; 11,141; 119; 3-4; 0; 506,170
Daniel Brands; 320; GER; 30; 1987.07.17; 92; 196; 1-4; 0; 97,964; 51; 59-91; 0; 2,037,887
Filip Horansky; 321; SVK; 24; 1993.01.07;  ; ;0-0; 0; 23,635; 300; 0-0; 0; 98,476
Bradley Mousley; 322; AUS; 21; 1996.01.03; 82; 188; 3-2; 0; 52,070; 97; 3-2; 0; 132,531
Marc Polmans; 323; AUS; 20; 1997.05.02; 78; 188; 5-6; 0; 100,301; 68; 5-6; 0; 245,250
Marsel Ilhan; 324; TUR; 30; 1987.06.11; 80; 191; 3-2; 0; 31,216; 77; 33-57; 0; 1,344,611
Miljan Zekic; 325; SRB; 29; 1988.07.12; 79; 185; 1-2; 0; 63,749; 188; 1-2; 0; 218,910
Evgeny Karlovskiy; 326; RUS; 23; 1994.08.07; 85; 191; 0-0; 0; 22,293; 318; 0-0; 0; 73,477
Nicolaas Scholtz; 327; RSA; 26; 1991.02.05;  ; ;3-2; 0; 20,861; 320; 5-6; 0; 84,246
Carlos Boluda-Purkiss; 328; ESP; 24; 1993.01.22; 69; 173; 0-0; 0; 20,355; 328; 0-0; 0; 76,938
Jeremy Jahn; 329; GER; 27; 1990.04.05; 73; 178; 0-0; 0; 43,210; 197; 0-0; 0; 108,450
Inigo Cervantes; 330; ESP; 28; 1989.11.30; 78; 183; 0-1; 0; 8,304; 105; 7-14; 0; 1,047,395
Mario Vilella Martinez; 331; ESP; 22; 1995.07.03; 74; 178; 0-0; 0; 25,411; 329; 0-0; 0; 66,026
Sebastian Fanselow; 332; GER; 25; 1991.12.30;  ; ;0-0; 0; 23,081; 323; 0-0; 0; 52,034
Andrea Basso; 333; ITA; 24; 1993.10.08; 72; 185; 0-0; 0; 22,597; 319; 0-0; 0; 63,543
Daniel Dutra da Silva; 334; BRA; 29; 1988.07.05; 76;  ;0-0; 0; 19,713; 231; 0-1; 0; 169,301
Gianluigi Quinzi; 335; ITA; 21; 1996.02.01; 84; 191; 1-4; 0; 80,601; 226; 1-4; 0; 165,853
Ivan Dodig; 336; CRO; 32; 1985.01.02; 83; 183; 43-23; 3; 700,130; 4; 218-151; 9; 6,350,790
Tim Puetz; 337; GER; 30; 1987.11.19; 78; 185; 2-3; 0; 23,368; 115; 2-3; 0; 283,065
Daniel Nguyen; 338; USA; 27; 1990.10.16; 73; 173; 0-0; 0; 29,676; 189; 0-0; 0; 179,790
Raymond Sarmiento; 339; USA; 25; 1992.07.24; 68; 178; 0-0; 0; 36,977; 287; 0-0; 0; 79,701
Axel Michon; 340; FRA; 27; 1990.12.16;  ; ;0-0; 0; 20,682; 177; 1-1; 0; 341,918
Jason Kubler; 341; AUS; 24; 1993.05.19; 74; 178; 0-0; 0; 19,737; 136; 1-2; 0; 157,448
Zhizhen Zhang; 342; CHN; 21; 1996.10.16; 87; 193; 3-1; 0; 42,285; 335; 4-2; 0; 103,785
Riccardo Bellotti; 343; ITA; 26; 1991.08.05;  ; ;0-1; 0; 61,153; 199; 0-1; 0; 177,849
Yannick Jankovits; 344; FRA; 30; 1987.01.06; 72;  ;0-0; 0; 6,661; 226; 0-0; 0; 122,264
Alessandro Bega; 345; ITA; 26; 1991.01.11; 68; 173; 0-1; 0; 31,130; 259; 0-1; 0; 127,957
Maxime Hamou; 346; FRA; 22; 1995.06.08; 75; 185; 0-1; 0; 55,974; 211; 0-3; 0; 162,905
Christopher Eubanks; 347; USA; 21; 1996.05.05; 82; 201; 2-3; 0; 97,890; 295; 2-5; 0; 146,281
Daniel Masur; 348; GER; 23; 1994.11.06; 79; 183; 0-2; 0; 74,414; 203; 0-2; 0; 143,804
Hiroki Moriya; 349; JPN; 27; 1990.10.16; 65; 170; 0-0; 0; 75,274; 143; 2-9; 0; 588,755
Scott Griekspoor; 350; NED; 26; 1991.01.10; 80; 188; 0-0; 0; 18,022; 282; 0-0; 0; 65,668
Kaichi Uchida; 351; JPN; 23; 1994.08.23;  ; ;0-0; 0; 26,410; 348; 0-0; 0; 81,394
Jan Satral; 352; CZE; 27; 1990.07.24; 82; 188; 0-2; 0; 95,111; 136; 1-4; 0; 317,315
Rajeev Ram; 353; USA; 33; 1984.03.18; 82; 193; 35-22; 4; 478,530; 11; 214-193; 14; 4,092,933
Radek Stepanek; 354; CZE; 39; 1978.11.27; 76; 185; 3-2; 0; 94,064; 8; 384-302; 5; 11,343,464
Frederico Ferreira Silva; 355; POR; 22; 1995.03.18;  ; ;2-1; 0; 24,474; 231; 4-5; 0; 127,539
Yosuke Watanuki; 356; JPN; 19; 1998.04.12; 63; 180; 0-0; 0; 19,866; 343; 0-0; 0; 31,500
Alexandre Muller; 357; FRA; 20; 1997.02.01; 73; 180; 0-1; 0; 61,832; 302; 0-1; 0; 91,027
Edward Corrie; 358; GBR; 29; 1988.02.21;  ; ;0-0; 0; 29,512; 215; 0-1; 0; 215,289
Andrea Pellegrino; 359; ITA; 20; 1997.03.23; 75; 185; 0-0; 0; 6,685; 336; 0-0; 0; 52,351
Carlos Gomez-Herrera; 360; ESP; 27; 1990.04.30; 85; 191; 0-0; 0; 4,592; 355; 0-1; 0; 97,394
Juan Ignacio Galarza; 361; ARG; 23; 1994.03.18; 81; 183; 0-0; 0; 16,944; 334; 0-0; 0; 73,126
Juan Ignacio Londero; 362; ARG; 24; 1993.08.15; 70; 180; 0-0; 0; 9,833; 209; 0-0; 0; 186,668
Frank Dancevic; 363; CAN; 33; 1984.09.26; 79; 185; 1-1; 0; 57,529; 65; 69-111; 0; 1,844,432
Joao Pedro Sorgi; 364; BRA; 24; 1993.10.18; 82; 188; 0-0; 0; 25,921; 251; 0-0; 0; 98,598
Lucas Catarina; 365; MON; 21; 1996.08.26;  ; ;1-3; 0; 20,945; 365; 2-3; 0; 35,027
Daniel Gimeno-Traver; 366; ESP; 32; 1985.08.07; 80; 183; 0-1; 0; 32,878; 48; 97-172; 0; 3,159,310
James McGee; 367; IRL; 30; 1987.06.10; 80; 183; 0-0; 0; 69,543; 146; 9-10; 0; 380,510
Shuichi Sekiguchi; 368; JPN; 26; 1991.07.15; 66; 168; 0-0; 0; 21,446; 259; 0-0; 0; 131,437
Lenny Hampel; 369; AUT; 21; 1996.12.24; 78; 188; 0-0; 0; 19,347; 359; 0-0; 0; 48,081
Marc Giner; 370; ESP; 26; 1991.06.18; 76; 183; 0-0; 0; 20,938; 245; 0-0; 0; 130,059
Albano Olivetti; 371; FRA; 26; 1991.11.24; 104; 203; 1-2; 0; 15,655; 103; 3-11; 0; 404,276
Thiemo de Bakker; 372; NED; 29; 1988.09.19; 83; 193; 1-2; 0; 14,658; 40; 69-91; 0; 1,719,418
Alejandro Gonzalez; 373; COL; 28; 1989.02.07; 83; 191; 0-2; 0; 63,239; 70; 16-40; 0; 1,058,605
N.Sriram Balaji; 374; IND; 27; 1990.03.18; 72; 180; 1-1; 0; 20,092; 132; 3-6; 0; 157,224
Facundo Mena; 375; ARG; 25; 1992.09.22; 85; 183; 0-0; 0; 4,797; 268; 0-0; 0; 108,049
Dzmitry Zhyrmont; 376; BLR; 28; 1989.03.01; 85; 188; 0-2; 0; 22,039; 201; 6-9; 0; 191,190
Marinko Matosevic; 377; AUS; 32; 1985.08.08; 86; 193; 0-0; 0; 24,958; 39; 63-95; 0; 2,029,540
Hiroyasu Ehara; 378; JPN; 26; 1991.06.18;  ; ;0-0; 0; 16,103; 330; 0-0; 0; 75,974
Sora Fukuda; 379; JPN; 20; 1997.10.03; 72; 183; 0-0; 0; 15,328; 378; 0-0; 0; 26,381
Filippo Baldi; 380; ITA; 21; 1996.01.10; 79; 183; 0-0; 0; 16,097; 369; 0-0; 0; 48,792
Ugo Humbert; 381; FRA; 19; 1998.06.26; 68; 188; 0-0; 0; 22,486; 368; 0-0; 0; 29,706
Yannick Vandenbulcke; 382; BEL; 27; 1990.07.18; 85; 193; 0-0; 0; 17,280; 378; 0-0; 0; 58,737
Juan Pablo Ficovich; 383; ARG; 20; 1997.01.24; 78; 191; 0-0; 0; 19,104; 352; 0-0; 0; 42,314
Dimitar Kuzmanov; 384; BUL; 24; 1993.07.28; 72; 183; 0-1; 0; 20,248; 281; 6-6; 0; 96,172
Maxime Janvier; 385; FRA; 21; 1996.10.18; 80; 193; 0-0; 0; 51,004; 228; 0-0; 0; 125,660
Antoine Escoffier; 386; FRA; 25; 1992.02.29;  ; ;0-0; 0; 17,421; 386; 0-0; 0; 63,964
Oriol Roca Batalla; 387; ESP; 24; 1993.04.30;  ; ;0-0; 0; 16,098; 193; 0-0; 0; 151,896
Petr Michnev; 388; CZE; 28; 1989.08.03; 82; 188; 0-0; 0; 37,493; 229; 0-0; 0; 76,269
Renta Tokuda; 389; JPN; 19; 1998.03.29; 69; 178; 0-0; 0; 16,206; 389; 0-0; 0; 26,634
Gerard Granollers; 390; ESP; 28; 1989.01.30;  ; ;0-0; 0; 5,502; 144; 0-4; 0; 300,867
Patricio Heras; 391; ARG; 28; 1989.01.21; 75; 183; 0-0; 0; 12,351; 269; 0-0; 0; 95,452
Maximo Gonzalez; 392; ARG; 34; 1983.07.20; 75; 175; 1-1; 0; 65,665; 58; 30-60; 0; 1,862,417
Yaraslav Shyla; 394; BLR; 24; 1993.03.05; 85; 193; 1-1; 0; 7,443; 164; 2-1; 0; 112,732
Lucas Miedler; 395; AUT; 21; 1996.06.21; 77; 180; 0-1; 0; 8,816; 204; 0-2; 0; 79,865
Sergio Gutierrez-Ferrol; 396; ESP; 28; 1989.03.05;  ; ;0-0; 0; 16,368; 173; 2-2; 0; 158,961
Alejandro Falla; 397; COL; 34; 1983.11.14; 77; 185; 1-1; 0; 22,400; 48; 114-169; 0; 3,101,331
Sanjar Fayziev; 398; UZB; 23; 1994.07.29; 73; 0; 0-3; 0; 21,740; 253; 0-5; 0; 78,160
Alexandar Lazov; 399; BUL; 27; 1990.07.09; 69; 183; 1-1; 0; 5,365; 314; 4-2; 0; 95,857
Elliot Benchetrit; 400; FRA; 19; 1998.10.02; 80; 193; 0-0; 0; 16,602; 400; 0-0; 0; 21,825
Gonzalo Escobar; 401; ECU; 28; 1989.01.20;  ; ;1-2; 0; 7,997; 183; 2-3; 0; 98,346
Pol Toledo Bague; 402; ESP; 23; 1994.12.22; 71; 178; 0-0; 0; 7,867; 204; 0-0; 0; 67,445
Gonzalo Lama; 403; CHI; 24; 1993.04.27; 82; 180; 0-0; 0; 11,888; 160; 8-3; 0; 155,450
Eduard Esteve Lobato; 404; ESP; 23; 1994.09.18; 81; 191; 0-0; 0; 15,233; 404; 0-0; 0; 54,349
Marc Sieber; 405; GER; 29; 1988.02.28; 68; 178; 0-0; 0; 17,131; 236; 0-0; 0; 111,993
Maximilian Neuchrist; 406; AUT; 26; 1991.07.22;  ; ;0-1; 0; 8,400; 135; 2-3; 0; 136,429
Shintaro Imai; 407; JPN; 24; 1993.09.07; 74; 178; 0-0; 0; 5,852; 263; 0-0; 0; 36,765
Mariano Kestelboim; 408; ARG; 21; 1996.02.06; 79; 188; 0-0; 0; 14,710; 387; 0-0; 0; 50,653
Viktor Durasovic; 409; NOR; 20; 1997.03.19;  ; ;1-1; 0; 4,405; 385; 1-4; 0; 45,603
Jared Hiltzik; 410; USA; 23; 1994.07.08; 79; 185; 0-0; 0; 26,668; 379; 0-0; 0; 58,477
Hugo Grenier; 411; FRA; 21; 1996.03.23; 85; 196; 0-0; 0; 15,871; 406; 0-0; 0; 40,025
Roberto Cid Subervi; 412; DOM; 24; 1993.08.30; 82; 193; 0-1; 0; 14,619; 412; 2-7; 0; 29,556
Lloyd Glasspool; 413; GBR; 24; 1993.11.19; 85; 191; 0-0; 0; 19,695; 282; 0-0; 0; 69,984
Juan Pablo Paz; 414; ARG; 22; 1995.01.04;  ;170; 1-1; 0; 6,262; 327; 1-1; 0; 79,090
Riccardo Bonadio; 415; ITA; 24; 1993.07.13; 84; 183; 0-0; 0; 16,648; 402; 0-0; 0; 57,774
David Pichler; 416; AUT; 21; 1996.02.19; 70; 180; 0-0; 0; 5,260; 250; 0-0; 0; 39,952
Mikael Ymer; 417; SWE; 19; 1998.09.09; 75; 183; 2-5; 0; 60,150; 310; 5-9; 0; 118,628
Marco Chiudinelli; 418; SUI; 36; 1981.09.10; 85; 185; 2-5; 0; 92,614; 52; 52-98; 0; 2,023,620
Kento Takeuchi; 419; JPN; 30; 1987.12.19;  ; ;0-0; 0; 18,932; 378; 0-1; 0; 143,326
Adelchi Virgili; 420; ITA; 27; 1990.03.10;  ; ;0-0; 0; 15,358; 394; 0-0; 0; 48,055
Baptiste Crepatte; 421; FRA; 23; 1994.09.21; 73; 185; 0-0; 0; 14,352; 421; 0-0; 0; 24,322
Clement Geens; 422; BEL; 21; 1996.03.11; 68; 180; 0-0; 0; 14,616; 245; 0-0; 0; 57,061
Fabrizio Ornago; 423; ITA; 25; 1992.04.24; 83; 191; 0-0; 0; 16,352; 423; 0-0; 0; 27,223
Cheong-Eui Kim; 424; KOR; 27; 1990.03.23;  ; ;0-0; 0; 17,081; 296; 0-0; 0; 87,972
Cristian Rodriguez; 425; COL; 27; 1990.06.24; 76; 180; 0-0; 0; 4,640; 286; 0-0; 0; 59,475
Sasi Kumar Mukund; 426; IND; 20; 1997.01.14; 76; 185; 0-0; 0; 19,350; 396; 0-0; 0; 47,397
Altug Celikbilek; 427; TUR; 21; 1996.09.07; 72; 185; 1-3; 0; 9,088; 321; 1-3; 0; 55,410
Samuel Bensoussan; 428; FRA; 26; 1991.11.18;  ; ;0-0; 0; 16,477; 428; 0-0; 0; 43,505
Liam Caruana; 429; ITA; 19; 1998.01.22; 72; 180; 0-0; 0; 13,318; 418; 0-0; 0; 17,737
Ruben Ramirez Hidalgo; 430; ESP; 39; 1978.01.06; 74; 183; 0-0; 0; 32,325; 50; 68-133; 0; 2,346,155
Yan Bai; 431; CHN; 28; 1989.05.21; 80; 185; 0-0; 0; 20,917; 200; 5-6; 0; 242,961
Mate Delic; 432; CRO; 24; 1993.04.29; 86; 196; 0-0; 0; 14,153; 150; 3-12; 0; 184,816
Boy Westerhof; 433; NED; 32; 1985.10.24; 80; 185; 0-0; 0; 5,300; 132; 0-0; 0; 251,900
Pawel Cias; 434; POL; 23; 1994.02.22; 70; 178; 0-0; 0; 12,260; 434; 0-0; 0; 45,844
Marko Tepavac; 435; SRB; 23; 1994.04.05; 90; 193; 0-1; 0; 27,755; 174; 0-1; 0; 115,767
Robin Kern; 436; GER; 24; 1993.10.03; 87; 191; 0-0; 0; 14,122; 350; 0-3; 0; 97,902
Michal Konecny; 437; CZE; 28; 1989.10.13; 78; 183; 0-0; 0; 16,373; 285; 0-0; 0; 160,021
Fabien Reboul; 438; FRA; 22; 1995.09.09; 80; 188; 0-0; 0; 3,285; 238; 0-0; 0; 42,666
Ryan Shane; 439; USA; 23; 1994.04.15; 89; 193; 0-0; 0; 16,687; 424; 0-1; 0; 89,402
Gianluca Mager; 440; ITA; 23; 1994.12.01;  ; ;0-1; 0; 31,850; 290; 0-1; 0; 95,792
